hour,heating_c,cooling_c,reason
0,16.7,29.4,verified autonomous action
1,16.7,29.4,verified autonomous action
2,16.7,29.4,verified autonomous action
3,22.0,24.0,verified autonomous action
4,22.0,24.0,verified autonomous action
5,22.0,24.0,verified autonomous action
6,22.0,24.0,verified autonomous action
7,22.0,24.0,verified autonomous action
8,22.0,24.0,verified autonomous action
9,22.0,24.0,verified autonomous action
10,22.0,24.0,verified autonomous action
11,22.0,24.0,verified autonomous action
12,22.0,24.0,verified autonomous action
13,22.0,24.0,verified autonomous action
14,22.0,24.0,verified autonomous action
15,22.0,24.0,verified autonomous action
16,22.0,24.0,verified autonomous action
17,16.7,29.4,verified autonomous action
18,16.7,29.4,verified autonomous action
19,16.7,29.4,verified autonomous action
20,16.7,29.4,verified autonomous action
21,16.7,29.4,verified autonomous action
22,16.7,29.4,verified autonomous action
23,16.7,29.4,verified autonomous action
24,16.7,29.4,verified autonomous action
25,16.7,29.4,verified autonomous action
26,16.7,29.4,verified autonomous action
27,22.0,24.0,verified autonomous action
28,22.0,24.0,verified autonomous action
29,22.0,24.0,verified autonomous action
30,22.0,24.0,verified autonomous action
31,22.0,24.0,verified autonomous action
32,22.0,24.0,verified autonomous action
33,22.0,24.0,verified autonomous action
34,22.0,24.0,verified autonomous action
35,22.0,24.0,verified autonomous action
36,22.0,24.0,verified autonomous action
37,22.0,24.0,verified autonomous action
38,22.0,24.0,verified autonomous action
39,22.0,24.0,verified autonomous action
40,22.0,24.0,verified autonomous action
41,16.7,29.4,verified autonomous action
42,16.7,29.4,verified autonomous action
43,16.7,29.4,verified autonomous action
44,16.7,29.4,verified autonomous action
45,16.7,29.4,verified autonomous action
46,16.7,29.4,verified autonomous action
47,16.7,29.4,verified autonomous action
48,16.7,29.4,verified autonomous action
49,16.7,29.4,verified autonomous action
50,16.7,29.4,verified autonomous action
51,16.7,29.4,verified autonomous action
52,16.7,29.4,verified autonomous action
53,16.7,29.4,verified autonomous action
54,16.7,29.4,verified autonomous action
55,16.7,29.4,verified autonomous action
56,16.7,29.4,verified autonomous action
57,16.7,29.4,verified autonomous action
58,16.7,29.4,verified autonomous action
59,16.7,29.4,verified autonomous action
60,16.7,29.4,verified autonomous action
61,16.7,29.4,verified autonomous action
62,16.7,29.4,verified autonomous action
63,16.7,29.4,verified autonomous action
64,16.7,29.4,verified autonomous action
65,16.7,29.4,verified autonomous action
66,16.7,29.4,verified autonomous action
67,16.7,29.4,verified autonomous action
68,16.7,29.4,verified autonomous action
69,16.7,29.4,verified autonomous action
70,16.7,29.4,verified autonomous action
71,16.7,29.4,verified autonomous action
72,16.7,29.4,verified autonomous action
73,16.7,29.4,verified autonomous action
74,16.7,29.4,verified autonomous action
75,16.7,29.4,verified autonomous action
76,16.7,29.4,verified autonomous action
77,16.7,29.4,verified autonomous action
78,16.7,29.4,verified autonomous action
79,16.7,29.4,verified autonomous action
80,16.7,29.4,verified autonomous action
81,16.7,29.4,verified autonomous action
82,16.7,29.4,verified autonomous action
83,16.7,29.4,verified autonomous action
84,16.7,29.4,verified autonomous action
85,16.7,29.4,verified autonomous action
86,16.7,29.4,verified autonomous action
87,16.7,29.4,verified autonomous action
88,16.7,29.4,verified autonomous action
89,16.7,29.4,verified autonomous action
90,16.7,29.4,verified autonomous action
91,16.7,29.4,verified autonomous action
92,16.7,29.4,verified autonomous action
93,16.7,29.4,verified autonomous action
94,16.7,29.4,verified autonomous action
95,16.7,29.4,verified autonomous action
96,16.7,29.4,verified autonomous action
97,16.7,29.4,verified autonomous action
98,16.7,29.4,verified autonomous action
99,22.0,24.0,verified autonomous action
100,22.0,24.0,verified autonomous action
101,22.0,24.0,verified autonomous action
102,22.0,24.0,verified autonomous action
103,22.0,24.0,verified autonomous action
104,22.0,24.0,verified autonomous action
105,22.0,24.0,verified autonomous action
106,22.0,24.0,verified autonomous action
107,22.0,24.0,verified autonomous action
108,22.0,24.0,verified autonomous action
109,22.0,24.0,verified autonomous action
110,22.0,24.0,verified autonomous action
111,22.0,24.0,verified autonomous action
112,22.0,24.0,verified autonomous action
113,16.7,29.4,verified autonomous action
114,16.7,29.4,verified autonomous action
115,16.7,29.4,verified autonomous action
116,16.7,29.4,verified autonomous action
117,16.7,29.4,verified autonomous action
118,16.7,29.4,verified autonomous action
119,16.7,29.4,verified autonomous action
120,16.7,29.4,verified autonomous action
121,16.7,29.4,verified autonomous action
122,16.7,29.4,verified autonomous action
123,16.7,29.4,verified autonomous action
124,22.0,24.0,verified autonomous action
125,22.0,24.0,verified autonomous action
126,22.0,24.0,verified autonomous action
127,22.0,24.0,verified autonomous action
128,22.0,24.0,verified autonomous action
129,22.0,24.0,verified autonomous action
130,22.0,24.0,verified autonomous action
131,22.0,24.0,verified autonomous action
132,22.0,24.0,verified autonomous action
133,22.0,24.0,verified autonomous action
134,22.0,24.0,verified autonomous action
135,22.0,24.0,verified autonomous action
136,22.0,24.0,verified autonomous action
137,22.0,24.0,verified autonomous action
138,16.7,29.4,verified autonomous action
139,16.7,29.4,verified autonomous action
140,16.7,29.4,verified autonomous action
141,16.7,29.4,verified autonomous action
142,16.7,29.4,verified autonomous action
143,16.7,29.4,verified autonomous action
144,16.7,29.4,verified autonomous action
145,16.7,29.4,verified autonomous action
146,16.7,29.4,verified autonomous action
147,16.7,29.4,verified autonomous action
148,22.0,24.0,verified autonomous action
149,22.0,24.0,verified autonomous action
150,22.0,24.0,verified autonomous action
151,22.0,24.0,verified autonomous action
152,22.0,24.0,verified autonomous action
153,22.0,24.0,verified autonomous action
154,22.0,24.0,verified autonomous action
155,22.0,24.0,verified autonomous action
156,22.0,24.0,verified autonomous action
157,22.0,24.0,verified autonomous action
158,22.0,24.0,verified autonomous action
159,22.0,24.0,verified autonomous action
160,22.0,24.0,verified autonomous action
161,22.0,24.0,verified autonomous action
162,16.7,29.4,verified autonomous action
163,16.7,29.4,verified autonomous action
164,16.7,29.4,verified autonomous action
165,16.7,29.4,verified autonomous action
166,16.7,29.4,verified autonomous action
167,16.7,29.4,verified autonomous action
168,16.7,29.4,verified autonomous action
169,16.7,29.4,verified autonomous action
170,16.7,29.4,verified autonomous action
171,16.7,29.4,verified autonomous action
172,22.0,24.0,verified autonomous action
173,22.0,24.0,verified autonomous action
174,22.0,24.0,verified autonomous action
175,22.0,24.0,verified autonomous action
176,22.0,24.0,verified autonomous action
177,22.0,24.0,verified autonomous action
178,22.0,24.0,verified autonomous action
179,22.0,24.0,verified autonomous action
180,22.0,24.0,verified autonomous action
181,22.0,24.0,verified autonomous action
182,22.0,24.0,verified autonomous action
183,22.0,24.0,verified autonomous action
184,22.0,24.0,verified autonomous action
185,22.0,24.0,verified autonomous action
186,16.7,29.4,verified autonomous action
187,16.7,29.4,verified autonomous action
188,16.7,29.4,verified autonomous action
189,16.7,29.4,verified autonomous action
190,16.7,29.4,verified autonomous action
191,16.7,29.4,verified autonomous action
192,16.7,29.4,verified autonomous action
193,16.7,29.4,verified autonomous action
194,16.7,29.4,verified autonomous action
195,16.7,29.4,verified autonomous action
196,22.0,24.0,verified autonomous action
197,22.0,24.0,verified autonomous action
198,22.0,24.0,verified autonomous action
199,22.0,24.0,verified autonomous action
200,22.0,24.0,verified autonomous action
201,22.0,24.0,verified autonomous action
202,22.0,24.0,verified autonomous action
203,22.0,24.0,verified autonomous action
204,22.0,24.0,verified autonomous action
205,22.0,24.0,verified autonomous action
206,22.0,24.0,verified autonomous action
207,22.0,24.0,verified autonomous action
208,22.0,24.0,verified autonomous action
209,22.0,24.0,verified autonomous action
210,16.7,29.4,verified autonomous action
211,16.7,29.4,verified autonomous action
212,16.7,29.4,verified autonomous action
213,16.7,29.4,verified autonomous action
214,16.7,29.4,verified autonomous action
215,16.7,29.4,verified autonomous action
216,16.7,29.4,verified autonomous action
217,16.7,29.4,verified autonomous action
218,16.7,29.4,verified autonomous action
219,16.7,29.4,verified autonomous action
220,16.7,29.4,verified autonomous action
221,16.7,29.4,verified autonomous action
222,16.7,29.4,verified autonomous action
223,16.7,29.4,verified autonomous action
224,16.7,29.4,verified autonomous action
225,16.7,29.4,verified autonomous action
226,16.7,29.4,verified autonomous action
227,16.7,29.4,verified autonomous action
228,16.7,29.4,verified autonomous action
229,16.7,29.4,verified autonomous action
230,16.7,29.4,verified autonomous action
231,16.7,29.4,verified autonomous action
232,16.7,29.4,verified autonomous action
233,16.7,29.4,verified autonomous action
234,16.7,29.4,verified autonomous action
235,16.7,29.4,verified autonomous action
236,16.7,29.4,verified autonomous action
237,16.7,29.4,verified autonomous action
238,16.7,29.4,verified autonomous action
239,16.7,29.4,verified autonomous action
240,16.7,29.4,verified autonomous action
241,16.7,29.4,verified autonomous action
242,16.7,29.4,verified autonomous action
243,16.7,29.4,verified autonomous action
244,16.7,29.4,verified autonomous action
245,16.7,29.4,verified autonomous action
246,16.7,29.4,verified autonomous action
247,16.7,29.4,verified autonomous action
248,16.7,29.4,verified autonomous action
249,16.7,29.4,verified autonomous action
250,16.7,29.4,verified autonomous action
